Ticker,close,volume,ttm_net_eps,pe_ratio,ttm_sales_per_share,book_value_per_share,ttm_fcf_per_share,current_assets,current_ratio,current_assets___inventory,quick_ratio,total_liabilities,debt_to_equity_ratio,return_on_equity,return_on_assets,tangible_equity,return_on_tangible_equity,current_liabilities,shareholder's_equity,ttm_net_income,cash_on_hand,total_share_holder_equity,revenue,gross_profit,operating_income,ebitda,net_income,eps_earnings_per_share_diluted,ps_ratio,pb_ratio,pfcf_ratio,total_assets,pe_ratio_industry_avg
AAPL,159.22499934966947,76468101.61290322,6.1,28.68693558,22.91,4.28,6.26,135.66500000000002,0.9850000000000001,130.0,0.94,296.26,4.25,151.345,28.805,69.665,151.345,137.54,69.665,101.25,57712.0,69665.5,110611.5,48401.0,35733.5,38450.5,29820.0,1.81,7.639159343,40.901748250000004,27.96772876,365.925,33.26289492237157
ABBV,145.3826029088313,5743352.419354839,6.71,21.40846485,31.78,8.98,12.385,27.22,0.8049999999999999,23.915,0.71,128.995,8.135,84.805,8.14,-91.43,-12.55,33.855000000000004,15.875,12.01,8701.0,15875.0,14212.0,10026.0,4895.5,6911.5,4267.0,2.385,4.5282426195,16.001744275000004,11.622821864999999,144.87,34.14895651111111
ABT,117.42206155240613,3447076.6129032257,4.125,31.121783245000003,24.490000000000002,20.385,4.7,23.835,1.85,18.409999999999997,1.43,38.775000000000006,1.085,21.22,10.01,0.14,-479.91499999999996,12.879999999999999,35.825,7.4,9203.5,35826.5,11681.5,6805.0,2645.0,3498.0,2218.0,1.2400000000000002,5.221068183,6.260330721,27.11359755,74.605,34.14895651111111
AVGO,562.5903050244448,2660978.5034373347,18.014175039661556,30.779061796750398,67.29312004230566,55.25757535695399,32.426589106292965,15.363498149127446,2.3714383923849813,13.828572184029614,2.136277102062401,50.48448439978847,2.2414886303543096,32.451515071390794,10.32281332628239,-30.976152829190905,-24.541084082496035,6.496747752511899,22.615475938656797,7.723865679534638,10124.564780539396,22615.801427815968,7791.192226335273,5113.775251189847,3119.1147540983607,4432.901374933897,2359.2551560021157,5.520391327340032,8.174527774158118,9.97851244539397,16.9656987395743,73.09493389740877,33.26289492237157
AZN,62.065149686482016,4530958.064516129,-0.09,100.18526785,13.835,5.96,1.8699999999999999,24.445,1.08,16.14,0.71,64.995,1.72,-1.415,-0.48500000000000004,-23.985,2.13,22.665,37.825,-0.47500000000000003,6179.0,37823.0,11700.5,7632.5,293.0,2043.5,19.5,-0.045,4.430003713,7.969798658,32.8527929,102.815,34.14895651111111
BMY,70.3630010712229,9244869.35483871,2.9699999999999998,22.449740865000003,20.855,15.705,6.805,31.689999999999998,1.42,29.595,1.33,72.35,2.15,18.275,6.035,-27.990000000000002,-22.39,22.345,33.83,6.62,15967.0,33825.5,11816.5,9403.0,1772.5,4354.0,1825.0,0.8300000000000001,3.172213944,4.2481877175,9.728528453500001,106.17,34.14895651111111
CSCO,51.128655173672655,24712167.92702274,2.799061343204653,18.672936533558964,12.1679058699101,9.687295081967212,3.2611554732945534,36.6518455843469,1.4757826546800632,34.57181121099947,1.3924219989423587,53.73320200951878,1.3371734531993653,28.87972236911687,12.388262823902696,-1.3362823902696985,-799.2981226864092,24.892905869910102,40.318588048651506,11.82113696456901,21135.415388683236,40316.738762559486,12787.679799048123,8073.841882601798,3520.432839767319,4026.404283447911,2997.9896879957696,0.7151084082496033,4.292020243117662,5.393542713058435,16.007388043580114,94.04676361713379,33.26289492237157
DHR,270.28068770645166,1895935.4838709678,8.629999999999999,35.939265649999996,40.685,63.965,9.665,12.16,1.555,9.24,1.1800000000000002,37.519999999999996,0.8200000000000001,14.375,7.775,-17.65,-36.42,7.845000000000001,45.769999999999996,6.279999999999999,3151.5,45769.5,7918.0,4824.0,2163.0,2745.5,1715.5,2.3449999999999998,7.6300127579999995,4.852627132499999,32.099892195,83.285,34.14895651111111
GOOGL,126.85252850129561,17819838.70967742,5.470000000000001,25.96138689,18.310000000000002,19.14,2.835,182.995,2.9000000000000004,181.725,2.88,105.36,0.42,30.869999999999997,21.759999999999998,228.47,34.275,63.1,252.82,75.285,136809.5,252819.5,71668.0,40374.5,20989.5,24600.0,18539.0,1.385,7.761707679,7.4184292425,50.070508515,358.185,33.26289492237157
JNJ,170.75382436595717,5271198.387096774,6.75,25.40273493,34.955,28.285,9.684999999999999,60.7,1.37,50.010000000000005,1.13,105.825,1.4249999999999998,28.674999999999997,11.42,-6.135,-166.66500000000002,44.31,74.365,20.354999999999997,30998.0,74366.0,24115.0,16338.5,5349.0,7207.5,4942.5,1.85,4.8705736239999995,6.019182261,17.69187068,180.19,34.14895651111111
LLY,275.98534955691434,1709175.8064516129,6.445,43.21003378,31.65,9.780000000000001,6.9399999999999995,17.71,1.25,13.82,0.975,38.555,4.145,73.03999999999999,12.219999999999999,-2.17,-160.115,14.22,9.31,5.855,3238.5,9308.5,7905.0,5844.0,2160.5,2601.5,1814.5,1.99,8.7873863035,28.43774473,40.168895000000006,47.865,34.14895651111111
MRK,81.64274420149127,7620813.709677419,5.365,14.40002123,20.23,15.67,4.13,30.725,1.335,24.86,1.08,66.58,1.685,38.5,14.005,-4.635,-886.025,23.095,39.605000000000004,13.615,8512.0,39605.0,14711.0,10084.5,4686.5,5664.0,4034.0,1.5899999999999999,3.8208770435000003,4.9287000345,19.14537722,106.18,34.14895651111111
MSFT,284.16294789360126,22177187.903225806,8.805,36.31896374,24.505,21.549999999999997,2.5149999999999997,164.055,2.12,160.89999999999998,2.08,181.03,1.125,47.685,21.5,92.91999999999999,79.74000000000001,77.475,161.46499999999997,71.82499999999999,115031.0,161467.0,50544.0,34256.5,21305.5,24940.0,17746.5,2.35,13.056791055,14.83882634,142.66022947,342.5,33.26289492237157
NVDA,219.8923582347964,49070805.24854574,3.7128979375991538,61.31274073265997,10.801631411951348,10.40400052882073,3.1184637757800107,28.59495240613432,6.283677948175569,25.856433104177682,5.6905341089370705,17.899278159703858,0.6882284505552618,41.26084875727129,24.062723426758332,19.394992067689053,58.69100211528293,4.6322580645161295,26.059315177154943,9.404153886832365,20607.55843469064,26059.99788471708,7772.6655208884185,5085.328133262824,2551.429931253305,2867.05737704918,2450.1110523532525,0.9646536224219988,21.21614547092808,21.8366463000661,72.82653560921204,43.9585933368588,33.26289492237157
ORCL,76.21063024831835,8381200.105764147,2.5378318350079323,31.108239183631675,14.615272342675832,-3.099019037546272,3.608765203595981,31.483093601269168,1.5772805393971443,0.0,0.0,116.4722025383395,-14.488350079323109,130.24932310946593,7.0377882072977265,-53.80468931782126,-17.316988365943946,20.000300105764147,-8.266048387096776,8.271488630354309,22971.931121099944,-8265.613035430988,10682.256081438392,8453.468270756213,2472.069539925965,3251.217609730302,1339.8945002644105,0.4852273929138022,5.414065348942225,-25.846728837195933,23.442262722497354,108.20093865679536,33.26289492237157
PFE,50.226880678711,26103820.967741936,4.105,13.2232962,15.215,14.285,5.390000000000001,57.055,1.395,47.535,1.16,102.58500000000001,1.28,31.32,13.365,2.885,-5692.155,40.97,80.07499999999999,23.475,27483.0,80073.5,24749.5,14889.5,6196.0,7457.0,5628.5,0.98,3.567632843,3.7837205149999997,10.0207034975,182.66,34.14895651111111
